Applied_At,Status,Priority,Company,Job_Title,Location,Match_Pct,Platform,URL,Notes
2026-09-05 20:11:08,applied,🟢 GOOD MATCH,Tata Consultancy Services,SDET Automation Engineer (6-8 Years),"Kochi, Hyderabad, Bengaluru",73.8%,naukri,https://www.naukri.com/job-listings-sdet-automation-engineer-6-8-years-tata-consultancy-services-kochi-hyderabad-bengaluru-6-to-8-years-140826016104,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 05:27:43,queued_external,🟢 GOOD MATCH,Ness Digital Engineering,QA Automation Engineer (Playwright),"Hyderabad, Telangana, India",73.8%,linkedin,https://in.linkedin.com/jobs/view/qa-automation-engineer-playwright-at-ness-digital-engineering-4463692741,
2026-09-06 05:27:46,queued_external,🟢 GOOD MATCH,Metasys Technologies,QA Automation Engineer with Playwright,"Hyderabad, Telangana, India",73.8%,linkedin,https://in.linkedin.com/jobs/view/qa-automation-engineer-with-playwright-at-metasys-technologies-4461199495,
,skipped,🟢 GOOD MATCH,The Humble Bucks LLC,Application Test / QA Test  / Automation Engineer,India,73.3%,linkedin,https://in.linkedin.com/jobs/view/application-test-qa-test-automation-engineer-at-the-humble-bucks-llc-4462685173,Reached step limit without reaching submission
,discovered,🟢 GOOD MATCH,CIBC India,Intermediate Quality Engineer - UI Automation Testing [T500-29204],"Hyderabad, Telangana, India",73.2%,linkedin,https://in.linkedin.com/jobs/view/intermediate-quality-engineer-ui-automation-testing-t500-29204-at-cibc-india-4464331474,"Strong tech matches: playwright, selenium, ci/cd, ai, copilot | Perfect experience match (7-7 yrs) | Banking / Fintech domain (Strong match)"
,discovered,🟢 GOOD MATCH,CIBC India,Quality Engineer - Automation Testing [T500-29203],"Hyderabad, Telangana, India",73.2%,linkedin,https://in.linkedin.com/jobs/view/quality-engineer-automation-testing-t500-29203-at-cibc-india-4464333425,"Strong tech matches: playwright, selenium, ci/cd, ai, copilot | Perfect experience match (7-7 yrs) | Banking / Fintech domain (Strong match)"
2026-09-05 20:11:19,applied,🟢 GOOD MATCH,Riseflake.com,Automation Testing Engineer,"Hyderabad, Telangana, India",73.2%,linkedin,https://in.linkedin.com/jobs/view/automation-testing-engineer-at-riseflake-com-4461446466,"Exception: Page.goto: Target page, context or browser has been closed"
2026-09-05 20:11:47,applied,🟢 GOOD MATCH,Cloudxtreme,Sdet Engineer,Hyderabad,73.2%,naukri,https://www.naukri.com/job-listings-sdet-engineer-cloudxtreme-hyderabad-4-to-8-years-040926922309,"Exception during Naukri apply: Page.goto: Target page, context or browser has been closed"
2026-09-06 09:32:11,queued_external,🟢 GOOD MATCH,Viacom18,Senior Software Development Engineer Test I,Bengaluru,73.2%,naukri,https://www.naukri.com/job-listings-senior-software-development-engineer-test-i-viacom-18-media-private-limited-bengaluru-5-to-10-years-250626500663,
2026-09-06 13:35:31,queued_external,🟢 GOOD MATCH,Assurant Solutions,Senior Technology Automation Engineer,Bengaluru,73.2%,naukri,https://www.naukri.com/job-listings-senior-technology-automation-engineer-assurant-bengaluru-5-to-10-years-220726503725,Acceptable exp range (5-10 yrs) | Standard employer
,queued_external,🟢 GOOD MATCH,Cvent,SDET II,"Gurugram, Haryana, India",73.2%,linkedin,https://in.linkedin.com/jobs/view/sdet-ii-at-cvent-4462363431,
,queued_external,🟢 GOOD MATCH,Schrill Consulting Services India Pvt Ltd,Test Automation Specialist,"Telangana, India",73.2%,linkedin,https://in.linkedin.com/jobs/view/test-automation-specialist-at-schrill-consulting-services-india-pvt-ltd-4461192996,
2026-09-06 09:32:18,applied,🟢 GOOD MATCH,Hero Fincorp,Senior QA/SDET Specialist,Gurugram,72.8%,naukri,https://www.naukri.com/job-listings-senior-qa-sdet-specialist-hero-fincorp-gurugram-5-to-9-years-170826006690,
2026-09-06 09:32:24,applied,🟢 GOOD MATCH,Eniac Systems,Automation Tester,"Kolkata, Hyderabad, Bengaluru",72.8%,naukri,https://www.naukri.com/job-listings-automation-tester-eniac-systems-kolkata-hyderabad-bengaluru-7-to-11-years-050826020999,
2026-09-05 19:12:08,queued_external,🟢 GOOD MATCH,Husky Technologies,"Test Automation Engineer- Husky (India) Guindy, Chennai-Immediate joiners only","Chennai, Tamil Nadu, India",72.2%,linkedin,https://in.linkedin.com/jobs/view/test-automation-engineer-husky-india-guindy-chennai-immediate-joiners-only-at-husky-technologies-4462613606,
2026-09-06 09:32:28,queued_external,🟢 GOOD MATCH,Mufg Pension & Market Services,Test Automation Analyst,Mumbai,72.2%,naukri,https://www.naukri.com/job-listings-test-automation-analyst-mufg-pension-market-services-mumbai-5-to-7-years-200326501880,
2026-09-06 09:32:31,applied,🟢 GOOD MATCH,APPLIED INFORMATION SCIENCES (AIS),Sdet Automation Test Engineer,Hybrid - Bengaluru,72.2%,naukri,https://www.naukri.com/job-listings-sdet-automation-test-engineer-applied-information-sciences-ais-bengaluru-3-to-8-years-050526044593,
2026-09-06 09:32:34,queued_external,🟢 GOOD MATCH,Xoxoday,SDET Engineer - Automation,Bengaluru,72.2%,naukri,https://www.naukri.com/job-listings-sdet-engineer-automation-xoxoday-bengaluru-3-to-5-years-170726501318,
2026-09-06 09:32:41,applied,🟢 GOOD MATCH,Bean Hr Consulting,SDET Software Engineer-C#,"Gurugram, Bengaluru",72.2%,naukri,https://www.naukri.com/job-listings-sdet-software-engineer-c-bean-hr-consulting-gurugram-bengaluru-2-to-6-years-030926012095,
,queued_external,🟢 GOOD MATCH,MassMutual India,Lead RPA Developer,"Hyderabad, Telangana, India",71.8%,linkedin,https://in.linkedin.com/jobs/view/lead-rpa-developer-at-massmutual-india-4426608383,
,queued_external,🟢 GOOD MATCH,AlgoSec,"Cloud Automation Developer, India","New Delhi, Delhi, India",71.8%,linkedin,https://in.linkedin.com/jobs/view/cloud-automation-developer-india-at-algosec-4463780015,
,queued_external,🟢 GOOD MATCH,AlgoSec,"QA Automation Developer, India","New Delhi, Delhi, India",71.8%,linkedin,https://in.linkedin.com/jobs/view/qa-automation-developer-india-at-algosec-4463770137,
,queued_external,🟢 GOOD MATCH,Microsoft,Software Engineer II,"Bengaluru, Karnataka, India",71.8%,linkedin,https://in.linkedin.com/jobs/view/software-engineer-ii-at-microsoft-4463737618,
2026-09-06 09:32:44,queued_external,🟢 GOOD MATCH,Experian,Senior Software Development Engineer in Test,Hyderabad,71.8%,naukri,https://www.naukri.com/job-listings-senior-software-development-engineer-in-test-experian-plc-hyderabad-5-to-10-years-280726502728,
2026-09-06 09:32:48,queued_external,🟢 GOOD MATCH,Experian,Senior Software Development Engineer in Test,Hyderabad,71.8%,naukri,https://www.naukri.com/job-listings-senior-software-development-engineer-in-test-experian-services-india-private-limited-hyderabad-4-to-9-years-040826922178,
2026-09-06 09:32:55,applied,🟢 GOOD MATCH,Mphasis,Sdet Automation Test Engineer-Cypress,Bengaluru,71.8%,naukri,https://www.naukri.com/job-listings-sdet-automation-test-engineer-cypress-advance-career-solutions-bengaluru-6-to-11-years-040926015643,
,discovered,🟢 GOOD MATCH,Cartney,Senior Software Test Engineer,"Chennai, Tamil Nadu, India",71.5%,linkedin,https://in.linkedin.com/jobs/view/senior-software-test-engineer-at-cartney-4462684600,"Strong tech matches: selenium, ci/cd, rest api | Perfect experience match (6-6 yrs) | Top-tier MNC / Enterprise (Cartney)"
,discovered,🟢 GOOD MATCH,Impetus,Quality Assurance Engineer,"Bengaluru, Karnataka, India",71.2%,linkedin,https://in.linkedin.com/jobs/view/quality-assurance-engineer-at-impetus-4464321260,"Strong tech matches: selenium, bdd, rest api, ai, copilot | Perfect experience match (6-8 yrs) | Standard employer"
2026-09-06 09:32:58,queued_external,🟢 GOOD MATCH,Acceldata,Senior SDET - ADOC,Bengaluru,71.2%,naukri,https://www.naukri.com/job-listings-senior-sdet-adoc-acceldata-bengaluru-4-to-9-years-160924500272,
,queued_external,🟢 GOOD MATCH,Ecolab,Senior Software Engineer,"Bengaluru East, Karnataka, India",70.8%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-at-ecolab-4417496314,
2026-09-05 19:12:30,queued_external,🟢 GOOD MATCH,symplr,Senior Quality Engineer,"Bengaluru, Karnataka, India",70.8%,linkedin,https://in.linkedin.com/jobs/view/senior-quality-engineer-at-symplr-4406955738,
,queued_external,🟢 GOOD MATCH,GE HealthCare,Senior Software Engineer,"Bengaluru, Karnataka, India",70.8%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-at-ge-healthcare-4398028019,
,queued_external,🟢 GOOD MATCH,General Motors,Sr Engineer / Lead Engineer - Digitize Paint ME,"Bengaluru, Karnataka, India",70.8%,linkedin,https://in.linkedin.com/jobs/view/sr-engineer-lead-engineer-digitize-paint-me-at-general-motors-4454552712,
,queued_external,🟢 GOOD MATCH,NTT DATA North America,Testing Engineering Senior Specialist,"Bengaluru, Karnataka, India",70.8%,linkedin,https://in.linkedin.com/jobs/view/testing-engineering-senior-specialist-at-ntt-data-north-america-4463715814,
2026-09-06 09:33:04,applied,🟢 GOOD MATCH,Hitachi Energy,Sr. R&D Engineer - Software Development Engineer in Testing,Bengaluru,70.8%,naukri,https://www.naukri.com/job-listings-sr-r-d-engineer-software-development-engineer-in-testing-hitachi-energy-india-limited-bengaluru-2-to-5-years-310826923573,
2026-09-06 09:33:08,queued_external,🟢 GOOD MATCH,Mimecast,Sr Software Development Engineer in Test,Bengaluru,70.8%,naukri,https://www.naukri.com/job-listings-sr-software-development-engineer-in-test-mimecast-bengaluru-7-to-13-years-250826502176,
,queued_external,🟢 GOOD MATCH,VySystems,Automation Testing,Greater Bengaluru Area,70.8%,linkedin,https://in.linkedin.com/jobs/view/automation-testing-at-vysystems-4463705572,
,discovered,🟢 GOOD MATCH,CIBC India,Intermediate Quality Engineer - Automation Testing [T500-29202],"Hyderabad, Telangana, India",70.5%,linkedin,https://in.linkedin.com/jobs/view/intermediate-quality-engineer-automation-testing-t500-29202-at-cibc-india-4464315553,"Strong tech matches: playwright, selenium, bdd, ci/cd, ai | Acceptable exp range (5-5 yrs) | Banking / Fintech domain (Strong match)"
,queued_external,🟢 GOOD MATCH,AutoZone,MS Dynamics - Senior Systems Engineer,"Delhi, Delhi, India",70.2%,linkedin,https://in.linkedin.com/jobs/view/ms-dynamics-senior-systems-engineer-at-autozone-4462614594,
,queued_external,🟢 GOOD MATCH,RxMen,Senior QA Engineer,"Delhi, India",70.2%,linkedin,https://in.linkedin.com/jobs/view/senior-qa-engineer-at-rxmen-4461473072,
,queued_external,🟢 GOOD MATCH,Sirion,Senior Software Engineer-I-QA,"Gurugram, Haryana, India",70.2%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-i-qa-at-sirion-4462384116,
,queued_external,🟢 GOOD MATCH,Moody's Corporation,Senior Software Engineer,"Gurugram, Haryana, India",70.2%,linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-at-moody-s-corporation-4454548706,
,queued_external,🟢 GOOD MATCH,AMD,"Agentic AI Systems Engineer – Fab, Assembly & Test","Hyderabad, Telangana, India",70.2%,linkedin,https://in.linkedin.com/jobs/view/agentic-ai-systems-engineer-%E2%80%93-fab-assembly-test-at-amd-4441588351,
2026-09-06 08:18:41,applied,🟢 GOOD MATCH,Aventior,Quality Engineer,"Pune District, Maharashtra, India",70.2%,linkedin,https://in.linkedin.com/jobs/view/quality-engineer-at-aventior-4462357765,
2026-09-06 05:34:00,skipped,🟢 GOOD MATCH,Eaton,Engineer - QA,"Pune Division, Maharashtra, India",70.2%,linkedin,https://in.linkedin.com/jobs/view/engineer-qa-at-eaton-4451227576,Reached step limit without reaching submission
2026-09-06 09:33:11,queued_external,🟢 GOOD MATCH,Popreach Technologies,Senior SDET,Bengaluru,70.2%,naukri,https://www.naukri.com/job-listings-senior-sdet-popreach-technologies-bengaluru-5-to-10-years-300626502056,
2026-09-06 08:13:43,applied,🟡 POSSIBLE MATCH,Zensar Technologies,Azure Testing,"Bengaluru, Karnataka, India",69.8%,linkedin,https://in.linkedin.com/jobs/view/azure-testing-at-zensar-technologies-4462640018,Standard SDET role | Standard employer
,discovered,🟡 POSSIBLE MATCH,Eudemonic Technologies Private Limited,Quality Assurance Automation Engineer,"Gurugram, Haryana, India",69.8%,linkedin,https://in.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-eudemonic-technologies-private-limited-4461166016,"Strong tech matches: playwright, ci/cd | Slightly junior (3 yrs req) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,Mufg Pension & Market Services,Test Automation Analyst,Mulshi,69.8%,naukri,https://www.naukri.com/job-listings-test-automation-analyst-mufg-pension-market-services-mulshi-5-to-7-years-120626505342,Standard SDET role | Standard employer | Location friction: mulshi
,discovered,🟡 POSSIBLE MATCH,Mufg Pension & Market Services,Test Automation Analyst,Greater Noida,69.8%,naukri,https://www.naukri.com/job-listings-test-automation-analyst-mufg-pension-market-services-greater-noida-5-to-7-years-200726500254,Standard SDET role | Standard employer | Location friction: greater noida
,discovered,🟡 POSSIBLE MATCH,ValueLabs,Finacle Automation Tester,"Chennai, Tamil Nadu, India",69.1%,linkedin,https://in.linkedin.com/jobs/view/finacle-automation-tester-at-valuelabs-4462941001,"Strong tech matches: playwright, selenium | Perfect experience match (6-10 yrs) | Banking / Fintech domain (Strong match)"
,queued_external,🟡 POSSIBLE MATCH,NVIDIA,Software Test Developer - Robotics,"Pune City, Maharashtra, India",68.8%,linkedin,https://in.linkedin.com/jobs/view/software-test-developer-robotics-at-nvidia-4462336373,Standard SDET role | Standard employer
,queued_external,🟡 POSSIBLE MATCH,Neo,Lead Software Development Engineer in Test,"Bengaluru, Karnataka, India",68.5%,linkedin,https://in.linkedin.com/jobs/view/lead-software-development-engineer-in-test-at-neo-4452919027,"Strong tech matches: playwright, selenium, ci/cd, ai | Perfect experience match (7-7 yrs) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,Jobgether,Senior Automation Engineer,India,68.2%,linkedin,https://in.linkedin.com/jobs/view/senior-automation-engineer-at-jobgether-4462915548,"Strong tech matches: playwright, selenium, azure devops, ci/cd, allure | Senior / Lead level role | Standard employer"
,discovered,🟡 POSSIBLE MATCH,r3 Consultant,Quality Assurance Engineer,India,68.2%,linkedin,https://in.linkedin.com/jobs/view/quality-assurance-engineer-at-r3-consultant-4463783256,"Strong tech matches: selenium, ci/cd, rest api, ai, agentic | Perfect experience match (7-8 yrs) | Standard employer"
,queued_external,🟡 POSSIBLE MATCH,SourcingXPress,Quality Assurance Engineer,"Bengaluru, Karnataka, India",67.8%,linkedin,https://in.linkedin.com/jobs/view/quality-assurance-engineer-at-sourcingxpress-4462438985,Standard SDET role | Standard employer
,discovered,🟡 POSSIBLE MATCH,ACL Digital,Senior/Lead QA Engineer,"Bengaluru, Karnataka, India",67.8%,linkedin,https://in.linkedin.com/jobs/view/senior-lead-qa-engineer-at-acl-digital-4462937502,"Strong tech matches: playwright, selenium, bdd, ci/cd | Senior / Lead level role | Standard employer"
,queued_external,🟡 POSSIBLE MATCH,General Mills,Associate Quality Engineer,Mumbai Metropolitan Region,67.8%,linkedin,https://in.linkedin.com/jobs/view/associate-quality-engineer-at-general-mills-4453577452,Standard SDET role | Standard employer
,discovered,🟡 POSSIBLE MATCH,Appinventiv,Software Tester,India,67.2%,linkedin,https://in.linkedin.com/jobs/view/software-tester-at-appinventiv-4461840074,Standard SDET role | Standard employer
,queued_external,🟡 POSSIBLE MATCH,NTT DATA North America,Industry Consulting Snr. Consultant,"Noida, Uttar Pradesh, India",67.2%,linkedin,https://in.linkedin.com/jobs/view/industry-consulting-snr-consultant-at-ntt-data-north-america-4444714398,Standard SDET role | Standard employer
,queued_external,🟡 POSSIBLE MATCH,Cvent,Software Engineer in Test II,"Gurugram, Haryana, India",67.2%,linkedin,https://in.linkedin.com/jobs/view/software-engineer-in-test-ii-at-cvent-4462384049,Standard SDET role | Standard employer
,queued_external,🟡 POSSIBLE MATCH,Neo,Senior Software Development Engineer in Test,"Bengaluru, Karnataka, India",65.8%,linkedin,https://in.linkedin.com/jobs/view/senior-software-development-engineer-in-test-at-neo-4435403628,"Strong tech matches: playwright, selenium, ci/cd, framework development, ai | Acceptable exp range (5-5 yrs) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,Kandou AI,Platform Software Integration & Validation Lead,Greater Hyderabad Area,65.8%,linkedin,https://in.linkedin.com/jobs/view/platform-software-integration-validation-lead-at-kandou-ai-4461058715,"Strong tech matches: ci/cd, ai | Perfect experience match (8-8 yrs) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,ZEISS India,Senior Full Stack Developer.,Greater Bengaluru Area,65.7%,linkedin,https://in.linkedin.com/jobs/view/senior-full-stack-developer-at-zeiss-india-4462660845,"Strong tech matches: ai, agentic | Senior / Lead level role | Standard employer"
,discovered,🟡 POSSIBLE MATCH,RunLoyal: Pet Software,Senior QA Automation Engineer,"Coimbatore, Tamil Nadu, India",65.4%,linkedin,https://in.linkedin.com/jobs/view/senior-qa-automation-engineer-at-runloyal-pet-software-4462935621,"Strong tech matches: playwright, selenium, ci/cd, automation architecture, ai | Acceptable exp range (5-8 yrs) | Banking / Fintech domain (Strong match)"
,discovered,🟡 POSSIBLE MATCH,Qubist Solutions LLC,HMI QA Lead (UAV Network Integration testing),"Bengaluru, Karnataka, India",65.2%,linkedin,https://in.linkedin.com/jobs/view/hmi-qa-lead-uav-network-integration-testing-at-qubist-solutions-llc-4462916233,"Strong tech matches: ci/cd, ai | Acceptable exp range (5-5 yrs) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,Stock Bazaar,DevOps Engineer,"New Delhi, Delhi, India",63.8%,linkedin,https://in.linkedin.com/jobs/view/devops-engineer-at-stock-bazaar-4461836100,"Strong tech matches: playwright, selenium, bdd, ci/cd | Standard SDET role | Banking / Fintech domain (Strong match)"
,queued_external,🟡 POSSIBLE MATCH,Neo,Software Development Engineer in Test II,"Bangalore Urban, Karnataka, India",63.5%,linkedin,https://in.linkedin.com/jobs/view/software-development-engineer-in-test-ii-at-neo-4406551716,"Strong tech matches: playwright, selenium, ci/cd, ai, copilot | Slightly junior (2 yrs req) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,Stagwell,"Senior Associate, Tech Quality Assurance","Bengaluru, Karnataka, India",63.5%,linkedin,https://in.linkedin.com/jobs/view/senior-associate-tech-quality-assurance-at-stagwell-4428813136,"Strong tech matches: playwright, selenium, azure devops, ci/cd, ai | Slightly junior (2 yrs req) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,Valiance Solutions,Quality Assurance Engineer,"Mumbai, Maharashtra, India",63.0%,linkedin,https://in.linkedin.com/jobs/view/quality-assurance-engineer-at-valiance-solutions-4454523542,"Strong tech matches: playwright, selenium, ci/cd, ai, agentic | Standard SDET role | Standard employer"
,queued_external,🟡 POSSIBLE MATCH,Miratech,Senior Automation Testing Engineer (Python),"Bengaluru, Karnataka, India",62.4%,linkedin,https://in.linkedin.com/jobs/view/senior-automation-testing-engineer-python-at-miratech-4461452185,Senior / Lead level role | Standard employer
,discovered,🟡 POSSIBLE MATCH,Orangepeople,Sr. SDET (SAP),Bengaluru,61.2%,naukri,https://www.naukri.com/job-listings-sr-sdet-sap-orangepeople-bengaluru-5-to-10-years-310826026067,"Strong tech matches: selenium, bdd | Acceptable exp range (5-10 yrs) | Standard employer"
,discovered,🟡 POSSIBLE MATCH,ZEISS India,Full stack Developer(Java),"Bengaluru, Karnataka, India",61.1%,linkedin,https://in.linkedin.com/jobs/view/full-stack-developer-java-at-zeiss-india-4462665829,"Strong tech matches: azure devops, ci/cd | Standard SDET role | Standard employer"
,discovered,🟡 POSSIBLE MATCH,Tata Consultancy Services,Mobile Automation,"Bengaluru, Karnataka, India",60.9%,linkedin,https://in.linkedin.com/jobs/view/mobile-automation-at-tata-consultancy-services-4462686633,"Strong tech matches: bdd, azure devops, ci/cd | Standard SDET role | Standard employer"
,discovered,🟡 POSSIBLE MATCH,ZettaMine Labs Pvt. Ltd.,[MFTFMC0I] QA ETL Engineer - Data Platform / Cloud Warehouse,"Gurugram, Haryana, India",60.5%,linkedin,https://in.linkedin.com/jobs/view/mftfmc0i-qa-etl-engineer-data-platform-cloud-warehouse-at-zettamine-labs-pvt-ltd-4461463028,Strong tech matches: selenium | Standard SDET role | Standard employer
,discovered,🟡 POSSIBLE MATCH,Mphasis,Sdet Automation Test Engineer-Python,Bengaluru,60.4%,naukri,https://www.naukri.com/job-listings-sdet-automation-test-engineer-python-advance-career-solutions-bengaluru-5-to-10-years-040926015759,Standard SDET role | Standard employer
,queued_external,🟡 POSSIBLE MATCH,ConnectWise,Software Test Engineer II (Python OR Ruby),"Pune Division, Maharashtra, India",60.0%,linkedin,https://in.linkedin.com/jobs/view/software-test-engineer-ii-python-or-ruby-at-connectwise-4461652512,Standard SDET role | Standard employer
